id,text,stamp,speaker
10, Il s'agit d'une incitation auprès des entreprises.,2022-04-20T19:19:18.089271Z, M.Le Pen
11, Il n'y aura pas d'augmentation de 10 %. Je propose de défiscaliser la prime. Vous n'allez pas le décider pour l'employeur.,2022-04-20T19:19:21.760048Z, E.Macron
12, Ca va changer leur vie quotidienne.,2022-04-20T19:19:28.639525Z, M.Le Pen
13," Vous n'allez pas le décider pour l'employeur. Vous n'allez pas faire les salaires, madame Le Pen.",2022-04-20T19:19:30.824292Z, E.Macron
14," Vous ne ferez pas non plus les primes, monsieur Macron.",2022-04-20T19:19:36.928310Z, M.Le Pen
15," Je ne le dis pas. J'enlève les charges du côté employeur, les impôts. Vous essayez de faire croire que vous allez augmenter les salaires de 10 % et que ce sera récurrent. Non, ce n'est pas vrai. Quand vous employez de manière durable une augmentation de salaire, c'est une charge pour l'entreprise, votre vie s'améliore, mais il faut que dans la durée, la situation de l'entreprise le permette. Les artisans et les entrepreneurs qui nous écoutent le savent. La nature n'est pas la même. Le salaire ne va pas augmenter de 10 %. Je peux revenir au blocage des prix? Je suis content d'apprendre que vous le maintenez. Vous avez voté contre quand il est passé à l'Assemblée. Pourquoi?",2022-04-20T19:19:40.155712Z, E.Macron
16, Parce que je souhaite changer le système de fond en comble.,2022-04-20T19:20:21.560530Z, M.Le Pen
17," D'accord, mais vous avez voté contre le blocage des prix.",2022-04-20T19:20:25.878391Z, E.Macron
18," Je veux restituer aux Français des prix de l'énergie qui sont la conséquence de l'investissement de leurs parents, de leurs grands-parents...",2022-04-20T19:20:33.008936Z, M.Le Pen
19, C'est autre chose.,2022-04-20T19:20:40.955310Z, E.Macron
20," Ce n'est pas autre chose. Vous voyez bien que si nous avions des prix régulés, comme nous les avions antérieurement, nous serions beaucoup moins sensibles à l'évolution que nous vivons aujourd'hui des prix de l'énergie, qui sont la conséquence aussi d'un prix de l'énergie qui est fixé au niveau européen et qui n'est pas fixé sur nos prix de production à nous, qui étaient très bas, qui ont d'ailleurs fait le bonheur des particuliers français et la compétitivité pendant des années des entreprises françaises. Mais sur l'ensemble des erreurs idéologiques effectuées par nos voisins, notamment nos voisins allemands, qui sont très dépendants du gaz russe et donc très dépendants des variations liées à des difficultés géopolitiques. Je termine. Moi, je suis parfaitement d'accord pour mettre une mesure supplémentaire... Toutes les mesures dont je viens de vous parler sont pérennes. C'est une mesure conjoncturelle: la suppression totale de la TVA, la TVA à 0 %, sur un panier de 100 produits de première nécessité, d'hygiène ou alimentaires, tant que l'inflation est supérieure de 1 point à la croissance. C'est évidemment le cas actuellement.",2022-04-20T19:20:41.179028Z, M.Le Pen
21, Ah bon?,2022-04-20T19:22:12.182122Z, E.Macron
22," Oui, oui.",2022-04-20T19:22:13.878178Z, M.Le Pen
23, Dans les chiffres constatés ou prévus?,2022-04-20T19:22:16.980895Z, E.Macron
24, Dans les chiffres prévus.,2022-04-20T19:22:18.063967Z, M.Le Pen
25," Vous n'êtes pas d'accord, E.Macron, avec ce que dit M.Le Pen?",2022-04-20T19:22:20.183579Z, L.Salamé
26," D'après les chiffres du 2e trimestre, l'inflation est de 4,5 % et la croissance de 0,6 %. Dans les prévisions de la Banque de France, la croissance est de 2,8 % et l'inflation de 4,4 %. Cette mesure se mettra en place rapidement. Ca démontre que la situation est difficile.",2022-04-20T19:22:29.886663Z, M.Le Pen
27," Je me félicite que malgré un vote négatif en tant que députée de la République quand il s'est agi de mettre en place le bouclier, qui est une mesure efficace, vous vouliez le garder. C'est une correction de jugement. La réforme du marché européen ne se fait pas en un mois, madame Le Pen. Il y a une différence entre vous et moi. Vous avez déclaré vouloir sortir du marché européen de l'énergie. C'est une immense erreur. Nous sommes interconnectés. Nous avons des moments où nous importons l'énergie que nous ne produisons pas sur le sol français. Nous avons besoin des marchés européens car nous sommes interconnectés. C'est ce que la France a entrepris sous sa présidence... Il faut pouvoir réformer le marché de l'électricité pour qu'il ne dépende plus des petites parts additionnelles de gaz qu'on importe, mais de la base installée, qui est beaucoup plus nucléaire. C'est ce qui permettra de baisser les prix. Même quand on lance cette réforme, on doit faire le bouclier. C'est pour ça qu'on l'a fait. Je regrette que vous ayez voté contre. Sur la TVA sur les produits alimentaires, je propose C'est comme le chèque inflation. Je voudrais qu'il touche les étudiants précaires, les modestes, les ménages qui sont à l'euro près. C'est plus efficace et plus juste. Pourquoi? D'abord parce que la TVA à 0 % sur les produits alimentaires que vous proposez n'est pas une mesure efficace car très peu répercutée. Ca fera 13 euros par an. Je ne me risquerai même pas sur ces chiffres. Quand on a baissé la TVA pour nos restaurateurs, c'était une très bonne mesure. Le président Sarkozy avait raison. C'était pour aider nos restaurateurs à embaucher, à repartir. Là, votre baisse de la TVA va aller aux grands distributeurs beaucoup plus qu'aux consommateurs. En plus, votre mesure est injuste. Vous et moi, on n'a pas besoin de payer 0 % de TVA sur ces biens. On veut que les ménages qui sont à l'euro près, qui n'arrivent pas à compléter leur caddie, puissent toucher quelque chose. Le chèque est plus adapté que la baisse de la TVA qui n'est pas ciblée. Ca va nous coûter des milliards alors que ça va profiter à des gens comme nous qui n'en avons pas besoin. Quand je regarde les chiffres de la Banque de France, le taux d'inflation est de 3,7 en 2022. Quand je regarde les chiffres réalisés... Vous avez parlé d'une inflation à 4,5 %. Les chiffres trimestriels de croissance sont de 5,4. J'ai regardé les chiffres.",2022-04-20T19:22:53.663240Z, E.Macron
28, Il y a un point de différence et ça s'appliquera.,2022-04-20T19:25:31.063106Z, M.Le Pen
29, Dans aucun cas votre dispositif ne peut s'appliquer aujourd'hui.,2022-04-20T19:25:38.657443Z, E.Macron
30, Il y a quand même quelque chose d'étonnant. Vous bloquez les prix mais vous auriez pu baisser les taxes que vous avez augmentées.,2022-04-20T19:25:42.488761Z, M.Le Pen
31, Je fais plus que les rendre.,2022-04-20T19:25:50.090666Z, E.Macron
32," Vous avez mis beaucoup de temps à le faire. C'est parce que vous avez augmenté les taxes sur le carburant que ça a déclenché des problèmes de pouvoir d'achat pour les Français, mais aussi la crise des ""gilets jaunes"". Vous avez suspendu cette hausse. Vous ne l'avez pas retirée. Vous ne l'avez pas retirée de la loi. Elle pourrait éventuellement demain reprendre la trajectoire d'augmentation que vous aviez envisagée. Je veux rendre leur argent aux Français. Vous faites encore une fois des chèques. Je vous dis que les chèques sont inflationnistes. Ca a toujours été le cas dans toutes les économies. Ca entretient l'inflation. Les commerçants se disent: ""Comme il va y avoir un chèque, autant maintenir les prix hauts."" La suppression de la TVA est désinflationniste. Vous mettez en oeuvre des mesures qui risquent d'aggraver la situation. Je suis navrée de voir que les mesures que vous proposez sont en même temps inefficaces, parfois mal calibrées. J'ai vu que le chèque de 100 euros que vous aviez adressé, même des détenus dans les prisons les avaient touchés pour compenser Il est beaucoup plus simple de rendre de manière pérenne leur argent.",2022-04-20T19:25:52.942616Z, M.Le Pen
33," E.Macron, vous avez une petite minute",2022-04-20T19:27:24.817102Z, G.Bouleau
34," Vous n'avez répondu à aucune de mes remarques. Je pense que vous n'avez pas de réponse. Vous n'y avez pas répondu. Ce que vous avez dit est factuellement faux. Les boucliers que nous avons mis en place, les chiffres le constatent, font que la France a 2 fois moins d'inflation 60 % de moins que l'Allemagne. Le bouclier qu'on a mis en place n'est pas inflationniste. Il évite que la hausse qui ne se répercute pas sur les ménages ne se traduise pas par ailleurs. Vos mesures ne sont pas ciblées du tout. Vous baissez la TVA pour nous 4. Elles sont inefficaces parce qu'elles ne seront pas transmises dans les prix. Elles sont injustes. Vous n'avez pas répondu. Vous êtes à peu près au même temps de parole sur le pouvoir d'achat. On passe à l'international.",2022-04-20T19:27:28.952526Z, E.Macron
35," Bravo à vous. Autre chapitre très important: l'international. Le 24 février, l'Ukraine, pays indépendant et reconnu pays européen, a été envahie et agressée par la Russie. Que doit faire la France? Jusqu'où doit-elle aller pour aider l'Ukraine? E.Macron.",2022-04-20T19:28:21.484786Z, G.Bouleau
36," D'abord, vous avez raison de poser la question internationale avec le retour de la guerre sur notre continent. Nous vivons des moments d'une extrême gravité. La Russie a décidé d'accroître son offensive. Les prochaines heures, les prochains jours, seront marqués par une offensive de plus en plus massive sur l'est de l'Ukraine, le Donbass, sur Marioupol, avec des drames humains comme ceux que nous avons constatés dans plusieurs villes. Le rôle de la France et le rôle de l'Europe, c'est, comme nous l'avons fait depuis le début, d'abord de soutenir l'Ukraine. On aide les Ukrainiens avec des équipements de défense et des équipements pour combattre. On soutient l'Ukraine financièrement. C'est ce que nous avons fait et refait. On soutient le peuple ukrainien. 5 millions d'Ukrainiens et d'Ukrainiennes ont quitté l'Ukraine pour rejoindre l'Europe.",2022-04-20T19:28:41.392226Z, E.Macron
37, Faut-il aller plus loin? C'est ce que vous demandait G.Bouleau.,2022-04-20T19:29:41.843825Z, L.Salamé
38," Il faut intensifier et tenir cette ligne avec beaucoup de force, en veillant, comme je le fais depuis le début, à ce que cette guerre n'aille pas dans une escalade et ne s'étende pas. Il nous faut renforcer en parallèle la tenaille que nous mettons en place avec les Européens et les alliés. Il nous faut également tenir les autres pays. C'est pour ça que j'ai sans cesse discuté avec la Chine, l'Inde et les pays du Golfe, pour qu'ils puissent prendre conscience que la Russie choisit une voie funeste, pour l'Ukraine au premier chef, mais pour elle-même et pour l'équilibre des nations. C'est pour ça que l'Europe est aussi importante. Une Europe avec des puissances de défense fortes. J'ai réinvesti massivement dans nos armées pour avoir un modèle complet d'armée, pour aller jusqu'aux 50 milliards. Je veux faire de la France et de l'Europe une puissance d'équilibre qui permet d'assurer notre défense dans la durée. Il faut éviter l'élargissement du conflit. Nous ne sommes les vassaux de personne. Il faut progressivement ramener la Russie à la raison pour cesser le feu puis libérer",2022-04-20T19:29:48.643435Z, E.Macron
39," On va reparler de l'UE et de l'Europe. Vous n'avez pas exactement la même vision de ce que doit être l'UE. pour vous, M.Le Pen: doit-on aider davantage l'Ukraine et lui livrer des armes? Faut-il aller plus loin?",2022-04-20T19:30:56.967161Z, L.Salamé
40," Permettez-moi d'évoquer, devant nos millions de compatriotes, ma solidarité et ma compassion absolues avec le peuple ukrainien. Je considère que l'agression dont l'Ukraine a été victime n'est pas admissible. Les efforts que vous avez développés pour tenter de trouver, au nom de la France, les moyens, les voies de la paix, méritent d'être soulignés. C'est très clair. L'aide à l'Ukraine, oui, bien sûr. L'aide financière, oui. L'aide avec du matériel de défense, oui. Le maire de Perpignan est allé jusqu'à la frontière polonaise pour ramener des réfugiés, des femmes, des enfants, des personnes âgées, tous d'Ukraine, pour les mettre en sécurité à Perpignan. La Pologne en est à près de 3 millions de réfugiés accueillis. Les alertes que j'avais pu lancer, c'était la limite entre l'aide et la cobelligérance en matière de livraison d'armes. L'autre limite, c'étaient les sanctions. J'étais d'accord sur l'intégralité des sanctions prises contre les oligarques, les banques. La seule sanction avec laquelle je suis en désaccord, c'est le blocage de l'importation du gaz et du pétrole russes. Pourquoi? Je pense que ce n'est pas la bonne méthode. Ce n'est pas ce qui fera du mal à la Russie. Surtout, ça va faire énormément de mal au peuple français. Les conséquences de ce blocage, dont on nous annonce d'ailleurs qu'il serait négocié par l'UE après l'élection présidentielle française, seraient cataclysmiques, et pas seulement sur les particuliers. Ce serait cataclysmique pour les entreprises. On ne peut pas se faire hara-kiri avec l'espoir de faire du mal financièrement à la Russie, qui ira certainement vendre son gaz et son pétrole à d'autres pays. C'était la seule limite que j'avais exprimée. J'ai aussi exprimé une crainte. C'est une crainte ancienne de notre pays, une crainte ancienne d'autres puissances du monde, celle de faire en sorte que la Russie et la Chine deviennent des alliés étroits, au point de constituer, demain, parce que gouverner, c'est prévoir les dangers de demain et d'aujourd'hui, une superpuissance économique, monétaire, peut-être même militaire, ce qui pourrait constituer un danger majeur pour l'Occident, pour l'Europe, pour la France. Voilà les limites que j'ai exprimées, les alertes que j'ai lancées. On est obligés, dans un monde complexe comme le nôtre, de se projeter à moyen et à long termes pour éviter, demain, de créer des dangers majeurs.",2022-04-20T19:31:13.156474Z, M.Le Pen
41," E.Macron, le jour où cette guerre s'arrêtera, faudra-t-il lever immédiatement les sanctions contre la Russie? Les Français pourront-ils considérer V.Poutine comme un partenaire à part entière, un partenaire comme un autre?",2022-04-20T19:34:42.864508Z, G.Bouleau
42," Je prends note des positions de madame Le Pen, qui ne correspondent pas aux positions que vos parlementaires défendent au Parlement européen. Qu'il s'agisse de protéger les Ukrainiens quand ils viennent sur notre sol comme des sanctions additionnelles après le premier paquet, comme de l'aide à l'Ukraine à laquelle vous vous êtes opposée, et je parle bien sûr de l'aide financière.",2022-04-20T19:34:57.133218Z, E.Macron
43, C'est faux.,2022-04-20T19:35:26.751214Z, M.Le Pen
44," C'est un fait. C'est d'ailleurs ce que vous venez de dire. C'est contraire aux positions que vous avez tenues historiquement. Vous avez été l'une des 1res responsables politiques européennes, dès 2014, à reconnaître le résultat de l'annexion de la Crimée. Dans le droit international, on reconnaît rarement des territoires annexés par la force, alors même que V.Poutine avait reconnu que les conditions de ce référendum Vous l'avez fait. Pourquoi? Pour notre pays, c'est une mauvaise nouvelle. Vous dépendez du pouvoir russe. Vous dépendez de monsieur Poutine. Quelques mois après avoir dit ça, vous avez contracté un prêt, en 2015, auprès d'une banque russe. Elle est proche du pouvoir. Vous avez ensuite reboutiqué ce prêt auprès d'autres acteurs. Ces derniers ont été impliqués dans la guerre en Syrie. Vous ne parlez pas à d'autres dirigeants. Vous parlez à votre banquier, quand vous parlez de la Russie. C'est ça, le problème. C'est aussi ce qui fait que, dès qu'il y a des positions courageuses à prendre, ni vous ni vos représentants ne sont là. Ce n'est pas un hasard si, il y a 5 ans, la Russie était intervenue dans la campagne. Ca a été prouvé. Il s'agissait de me déstabiliser. Vous avez toujours été ambiguë sur le sujet. Vous n'êtes pas dans une situation de puissance à puissance. Vous ne pouvez pas défendre les intérêts de la France correctement sur ce sujet parce que vos intérêts sont liés",2022-04-20T19:35:28.840965Z, E.Macron
45, Vous avez le pouvoir de répondre à ce que vient de dire E.Macron. Vous dépendez du pouvoir russe.,2022-04-20T19:37:20.985158Z, L.Salamé
46," E.Macron a accès à l'intégralité des informations des services français... Il sait pertinemment que ce qu'il dit est faux. Je suis une femme absolument et totalement libre. Je suis une patriote. Je l'ai démontré toute ma vie. La France et les Français, toujours, en toutes circonstances. J'ai retrouvé un tweet du 9 novembre 2014. ""Je soutiens une Ukraine libre qui ne soit soumise ni aux Etats-Unis, ni à l'UE, ni à la Russie."" Voilà ma position. C'était la même en Irak en 2003. C'est la même pour l'Ukraine aujourd'hui.",2022-04-20T19:37:28.958167Z, M.Le Pen
47, Mais l'Ukraine sans la Crimée.,2022-04-20T19:38:02.992841Z, E.Macron
48, Nous allons y venir. La Crimée n'a pas dû vous poser énormément de problèmes non plus. Vous avez reçu monsieur Poutine en grande pompe à Versailles.,2022-04-20T19:38:04.944152Z, M.Le Pen
49," Je l'ai reçu comme un chef d'Etat, pas comme un banquier.",2022-04-20T19:38:13.642546Z, E.Macron
50," En 2017. Vous avez reçu monsieur Poutine à Brégançon, sur votre lieu de vacances. A cette occasion, vous avez tenu les propos que je tiens. Vous avez dit, à cette occasion, que la Russie devait être réarrimée à l'Europe. Vous avez dit qu'il fallait faire l'Europe de Lisbonne à Vladivostok.",2022-04-20T19:38:17.808951Z, M.Le Pen
51, Ce que je dis est faux?,2022-04-20T19:38:45.226454Z, E.Macron
52, Je vais maintenant revenir sur le fond.,2022-04-20T19:38:48.923248Z, M.Le Pen
53," Je ne reviens sur aucune de mes déclarations, sur la Russie, dans le cadre de l'architecture de la sécurité européenne. C'est ce que j'ai défendu. J'ai parlé d'un point précis qui touche le financement de votre parti. Ce que j'ai dit est faux?",2022-04-20T19:38:50.224605Z, E.Macron
54, Oui. C'est faux et assez malhonnête.,2022-04-20T19:39:08.228638Z, M.Le Pen
55, Très bien. Tout ça est public. Nos compatriotes pourront le vérifier.,2022-04-20T19:39:10.616255Z, E.Macron
56," J'ai contracté un prêt à l'étranger. C'est de notoriété publique. C'est parce qu'aucune banque française n'a voulu m'accorder de prêt. A l'époque, vous trouviez ça tellement scandaleux que vous avez fait voter une loi sur la banque de la démocratie. Vous ne l'avez jamais mise en oeuvre. Pourquoi? Pourquoi n'êtes-vous pas allé au bout de cette banque de la démocratie, dont vous saviez qu'elle comblait un déficit démocratique des banques qui avaient l'air de choisir leur parti politique. Les banques choisissaient les candidats à soutenir ou non.",2022-04-20T19:39:15.702189Z, M.Le Pen
57," Vous avez contracté ce prêt en 2015. Vous ne l'avez toujours pas remboursé. Ce n'est pas un sujet de la banque de démocratie. D'autres candidats à cette élection, qui défendaient des idées comme les vôtres, comme monsieur Zemmour, ne sont pas allés contracter des prêts à l'étranger.",2022-04-20T19:39:53.824203Z, E.Macron
58," Nous remboursons sous le contrôle de la Commission nationale des comptes de campagne. Croyez-moi, cette commission est extrêmement sévère et rigoureuse. J'ai autre chose à vous dire. Des millions de Français, ces 5 dernières années, sont allés dans les banques françaises pour faire des prêts, pour acheter des voitures, faire un emprunt pour leur maison. Ils ne vous doivent rien. La seule chose qu'ils doivent, c'est rembourser un prêt, exactement comme moi.",2022-04-20T19:40:17.349759Z, M.Le Pen
59," Et comme votre serviteur. Simplement, ils vont dans des banques françaises pour payer leur voiture. Ils ne vont pas chercher plusieurs millions dans une banque russe liée au pouvoir, des millions qu'ils ne remboursent pas.",2022-04-20T19:40:48.923040Z, E.Macron
60, Je ne peux pas vous laisser dire...,2022-04-20T19:40:59.834236Z, M.Le Pen
61, C'est la réalité.,2022-04-20T19:41:02.217218Z, E.Macron
62," Je ne peux pas vous laisser dire qu'on ne rembourse pas. Nous remboursons tous les mois, rubis sur l'ongle, sous le contrôle de la Commission nationale des comptes de campagne.",2022-04-20T19:41:04.927177Z, M.Le Pen
63, Vous n'avez toujours pas remboursé ce prêt.,2022-04-20T19:41:13.132005Z, E.Macron
64," Nous sommes un parti pauvre. C'est long, c'est vrai. Mais ce n'est pas déshonorant.",2022-04-20T19:41:15.909998Z, M.Le Pen
65," Je ne considère pas que c'est déshonorant. Mon problème, et vous le reconnaîtrez avec moi, c'est que ça crée une dépendance.",2022-04-20T19:41:21.570793Z, E.Macron
66, Je n'ai pas d'autres dépendances que de rembourser mon prêt.,2022-04-20T19:41:28.943067Z, M.Le Pen
67," Votre prêt n'a pas été contracté auprès d'une banque lambda en Russie. C'est une banque proche du pouvoir. Chacun pourra le vérifier. Assumez-le! Beaucoup de vos choix s'expliquent par cette dépendance. Je ne vous en tiens pas grief. Je vous dis simplement que d'autres candidats, défendant des idées proches des vôtres, n'ont pas fait les mêmes choix. Ils ont trouvé des financements dans des banques françaises Vous avez fait un choix qui vous a ensuite contrainte dans votre position politique. Ca ne vous rend pas indépendante sur cette question.",2022-04-20T19:41:31.794508Z, E.Macron
68, C'est faux. Je vous le redis.,2022-04-20T19:42:08.922993Z, M.Le Pen
69," Vous pouvez asséner cette même phrase... On est tous à vous écouter. Moi aussi, j'ai des prêts avec des banques. Comme tous nos compatriotes, j'en ai eu, pour acheter une maison ou un véhicule. Aucun d'entre nous n'est allé le chercher auprès de banques russes, encore moins auprès de banques proches du pouvoir.",2022-04-20T19:42:10.852179Z, E.Macron
70," C'est un fait. Ca ne vous fait pas plaisir, mais c'est un fait.",2022-04-20T19:42:32.926627Z, E.Macron
71, C'est malhonnête de m'empêcher d'obtenir un prêt dans une banque française et de me reprocher après de partir à l'étranger. de trouver un prêt dans une banque française?,2022-04-20T19:42:40.946752Z, M.Le Pen
72, Vous étiez ministre de l'Economie.,2022-04-20T19:42:51.294166Z, M.Le Pen
73," J'étais ministre des Finances. En plus, personne n'est jamais intervenu. Vous le savez.",2022-04-20T19:42:53.538823Z, E.Macron
74, Il reste une question très importante à vous poser...,2022-04-20T19:42:59.319444Z, L.Salamé
75, Sans doute plus importante que cela.,2022-04-20T19:43:02.600344Z, M.Le Pen
